year,imdb,title
2008,tt1104733,Hamlet 2
2008,tt0448157,Hancock
2008,tt1227929,Herb &amp; Dorothy
2008,tt0962726,High School Musical 3: Senior Year
2008,tt0465502,Igor
2008,tt0780536,In Bruges
2008,tt0367882,Indiana Jones and the Kingdom of the Crystal Skull
2008,tt0494238,Inkheart
2008,tt0371746,Iron Man
2008,tt0373051,Journey to the Center of the Earth
2008,tt0489099,Jumper
2008,tt0441773,Kung Fu Panda
2008,tt1139797,L&aring;t den r&auml;tte komma in (Let the Right One In)
2008,tt0866439,Made of Honor
2008,tt0467197,Max Payne
2008,tt0765476,Meet Dave
2008,tt1013753,Milk
2008,tt1046997,Miracle at St. Anna
2008,tt0981227,Nick and Norah&#39;s Infinite Playlist
2008,tt0410377,Nim&#39;s Island
2008,tt0910936,Pineapple Express
2008,tt1226681,Pontypool
2008,tt0368563,Possession
2008,tt0926129,Prom Night
2008,tt0830515,Quantum of Solace
2008,tt1082868,Quarantine
2008,tt1084950,Rachel Getting Married
2008,tt0959337,Revolutionary Road
2008,tt1032755,RocknRolla
2008,tt0814314,Seven Pounds
2008,tt1000774,Sex and the City
2008,tt1010048,Slumdog Millionaire
2008,tt0811080,Speed Racer
2008,tt0942903,Stargate: The Ark of Truth
2008,tt0838283,Step Brothers
2008,tt0862846,Sunshine Cleaning
2008,tt0383028,"Synecdoche, New York"
2008,tt0936501,Taken
2008,tt0200465,The Bank Job
2008,tt0844286,The Brothers Bloom
2008,tt0499448,The Chronicles of Narnia: Prince Caspian
2008,tt0421715,The Curious Case of Benjamin Button
2008,tt0468569,The Dark Knight
2008,tt0970416,The Day the Earth Stood Still
2008,tt0406759,The Eye
2008,tt0865556,The Forbidden Kingdom
2008,tt0852713,The House Bunny
2008,tt0887912,The Hurt Locker
2008,tt0800080,The Incredible Hulk
2008,tt0981072,The Lucky Ones
2008,tt0467200,The Other Boleyn Girl
2008,tt0976051,The Reader
2008,tt0416212,The Secret Life of Bees
2008,tt1018785,The Sisterhood of the Traveling Pants 2
2008,tt0482606,The Strangers
2008,tt420238,The Tale of Despereaux
2008,tt0430770,The Women
2008,tt1125849,The Wrestler
2008,tt0882978,Three Kingdoms: Resurrection of the Dragon
2008,tt0800241,Transsiberian
2008,tt0942385,Tropic Thunder
2008,tt1099212,Twilight
2008,tt0985699,Valkyrie
2008,tt0497465,Vicky Cristina Barcelona
2008,tt0910970,WALL-E
2008,tt1185616,Waltz with Bashir
2008,tt0493464,Wanted
2008,tt0494652,"Welcome Home, Roscoe Jenkins"
2008,tt1152850,Wendy and Lucy
2008,tt1033643,What Happens In Vegas
2008,tt1068680,Yes Man
2007,tt1038988,[Rec]
2007,tt0450385,1408
2007,tt0463854,28 Weeks Later
2007,tt0381849,3:10 to Yuma
2007,tt0389722,30 Days of Night
2007,tt0411061,88 Minutes
2007,tt0445922,Across the Universe
2007,tt0783233,Atonement
2007,tt0416508,Becoming Jane
2007,tt0442933,Beowulf
2007,tt0445934,Blades of Glory
2007,tt0398808,Bridge to Terabithia
2007,tt0283503,Brooklyn Rules
2007,tt0423977,Charlie Bartlett
2007,tt0472062,Charlie Wilson&#39;s War
2007,tt0795368,Death at a Funeral
2007,tt0848557,Diary of the Dead
2007,tt0486822,Disturbia
2007,tt0765443,Eastern Promises
2007,tt0461770,Enchanted
2007,tt0486576,Fantastic Four: Rise of the Silver Surfer
2007,tt0452623,Gone Baby Gone
2007,tt0427327,Hairspray
2007,tt0373883,Halloween
2007,tt0367959,Hannibal Rising
2007,tt0373889,Harry Potter and the Order of the Phoenix
2007,tt0465494,Hitman
2007,tt0498353,Hostel: Part II
2007,tt0425112,Hot Fuzz
2007,tt0787475,Hot Rod
2007,tt0480249,I Am Legend
2007,tt0758758,Into the Wild
2007,tt0467406,Juno
2007,tt0478311,Knocked Up
2007,tt0805564,Lars and the real Girl
2007,tt0337978,Live Free or Die Hard
2007,tt0465538,Michael Clayton
2007,tt0758766,Music and Lyrics
2007,tt0477348,No Country for Old Men
2007,tt0481141,No Reservations
2007,tt1179904,Paranormal Activity
2007,tt0808417,Persepolis
2007,tt0449088,Pirates of the Caribbean: At World&#39;s End
2007,tt0477071,Premonition
2007,tt0382932,Ratatouille
2007,tt0432021,Resident Evil: Extinction
2007,tt00293564,Rush Hour 3
2007,tt0822854,Shooter
2007,tt0413267,Shrek the Third
2007,tt0964587,St. Trinian&#39;s
2007,tt0486655,Stardust
2007,tt0448134,Sunshine
2007,tt0829482,Superbad
2007,tt0815244,Sydney White
2007,tt0780622,Teeth
2007,tt0825232,The Bucket List
2007,tt0385752,The Golden Compass
2007,tt0419887,The Kite Runner
2007,tt0756683,The Man from Earth
2007,tt0425430,The Messengers
2007,tt0884328,The Mist
2007,tt0481369,The Number 23
2007,tt0775529,The Savages
2007,tt0780607,The Signal
2007,tt0462538,The Simpsons Movie
2007,tt0857191,The Visitor
2007,tt0469494,There Will Be Blood
2007,tt0453556,TMNT
2007,tt0418279,Transformers
2007,tt0861739,Tropa de Elite
2007,tt0473308,Waitress
2007,tt0498399,We Own the Night
2007,tt0496436,White Noise 2: The Light
2006,tt0416449,300
2006,tt0405296,A Scanner Darkly
2006,tt0437800,Akeelah and the Bee
2006,tt0429591,Aquamarine
